alpha,beta,rho,fitted_exponent
0.3067,0.2533,0.0541,0.650919
0.3067,0.2533,0.1618,0.651926
0.3067,0.2533,0.2675,0.652909
0.3067,0.2533,0.3701,0.653868
0.3067,0.2533,0.4684,0.654803
0.3067,0.2533,0.5612,0.655714
0.3067,0.2533,0.6474,0.656602
0.3067,0.2533,0.7260,0.657467
0.3067,0.2533,0.7961,0.658310
0.3067,0.2533,0.8569,0.659131
0.3067,0.2533,0.9076,0.659931
0.3067,0.2533,0.9477,0.660711
0.3067,0.2533,0.9766,0.661470
0.3067,0.2533,0.9941,0.662210
0.3067,0.2533,1.0000,0.662930
0.3067,0.3067,-1.0000,0.979905
0.3067,0.3067,-0.9941,0.974963
0.3067,0.3067,-0.9766,0.970370
0.3067,0.3067,-0.9477,0.966131
0.3067,0.3067,-0.9076,0.962244
0.3067,0.3067,-0.8569,0.958708
0.3067,0.3067,-0.7961,0.955518
0.3067,0.3067,-0.7260,0.952669
0.3067,0.3067,-0.6474,0.950153
0.3067,0.3067,-0.5612,0.947962
0.3067,0.3067,-0.4684,0.946085
0.3067,0.3067,-0.3701,0.944513
0.3067,0.3067,-0.2675,0.943234
0.3067,0.3067,-0.1618,0.942238
0.3067,0.3067,-0.0541,0.941514
0.3067,0.3067,0.0541,0.941049
0.3067,0.3067,0.1618,0.940832
0.3067,0.3067,0.2675,0.940854
0.3067,0.3067,0.3701,0.941101
0.3067,0.3067,0.4684,0.941565
0.3067,0.3067,0.5612,0.942234
0.3067,0.3067,0.6474,0.943100
0.3067,0.3067,0.7260,0.944152
0.3067,0.3067,0.7961,0.945381
0.3067,0.3067,0.8569,0.946780
0.3067,0.3067,0.9076,0.948339
0.3067,0.3067,0.9477,0.950052
0.3067,0.3067,0.9766,0.951911
0.3067,0.3067,0.9941,0.953909
0.3067,0.3067,1.0000,0.956041
0.3600,0.2000,-1.0000,0.445276
0.3600,0.2000,-0.9941,0.383849
0.3600,0.2000,-0.9766,0.299011
0.3600,0.2000,-0.9477,0.207132
0.3600,0.2000,-0.9076,0.117041
0.3600,0.2000,-0.8569,0.065363
0.3600,0.2000,-0.7961,0.056395
0.3600,0.2000,-0.7260,0.129624
0.3600,0.2000,-0.6474,0.277183
0.3600,0.2000,-0.5612,0.601437
0.3600,0.2000,-0.4684,0.829423
0.3600,0.2000,-0.3701,0.920703
0.3600,0.2000,-0.2675,0.915310
0.3600,0.2000,-0.1618,0.862010
0.3600,0.2000,-0.0541,0.646959
0.3600,0.2000,0.0541,0.327993
0.3600,0.2000,0.1618,0.358317
0.3600,0.2000,0.2675,0.383789
0.3600,0.2000,0.3701,0.405502
0.3600,0.2000,0.4684,0.424232
0.3600,0.2000,0.5612,0.440546
0.3600,0.2000,0.6474,0.454873
0.3600,0.2000,0.7260,0.467542
0.3600,0.2000,0.7961,0.478811
0.3600,0.2000,0.8569,0.488883
0.3600,0.2000,0.9076,0.497925
0.3600,0.2000,0.9477,0.506069
0.3600,0.2000,0.9766,0.513427
0.3600,0.2000,0.9941,0.520089
0.3600,0.2000,1.0000,0.526133
0.3600,0.2533,-1.0000,0.313525
0.3600,0.2533,-0.9941,0.492228
0.3600,0.2533,-0.9766,0.751764
0.3600,0.2533,-0.9477,0.911310
0.3600,0.2533,-0.9076,0.978641
0.3600,0.2533,-0.8569,0.994463
0.3600,0.2533,-0.7961,0.992022
0.3600,0.2533,-0.7260,0.986700
0.3600,0.2533,-0.6474,0.979760
0.3600,0.2533,-0.5612,0.970484
0.3600,0.2533,-0.4684,0.957648
0.3600,0.2533,-0.3701,0.938978
0.3600,0.2533,-0.2675,0.909707
0.3600,0.2533,-0.1618,0.853220
0.3600,0.2533,-0.0541,0.608582
0.3600,0.2533,0.0541,0.437839
0.3600,0.2533,0.1618,0.449067
0.3600,0.2533,0.2675,0.459246
0.3600,0.2533,0.3701,0.468499
0.3600,0.2533,0.4684,0.476932
0.3600,0.2533,0.5612,0.484633
0.3600,0.2533,0.6474,0.491677
0.3600,0.2533,0.7260,0.498131
0.3600,0.2533,0.7961,0.504049
0.3600,0.2533,0.8569,0.509481
0.3600,0.2533,0.9076,0.514467
0.3600,0.2533,0.9477,0.519046
0.3600,0.2533,0.9766,0.523248
0.3600,0.2533,0.9941,0.527103
0.3600,0.2533,1.0000,0.530633
0.3600,0.3067,-1.0000,1.043018
0.3600,0.3067,-0.9941,1.043554
0.3600,0.3067,-0.9766,1.043827
0.3600,0.3067,-0.9477,1.043790
0.3600,0.3067,-0.9076,1.043377
0.3600,0.3067,-0.8569,1.042501
0.3600,0.3067,-0.7961,1.041037
0.3600,0.3067,-0.7260,1.038810
0.3600,0.3067,-0.6474,1.035557
0.3600,0.3067,-0.5612,1.030878
0.3600,0.3067,-0.4684,1.024123
0.3600,0.3067,-0.3701,1.001106
0.3600,0.3067,-0.2675,0.926712
0.3600,0.3067,-0.1618,0.807295
0.3600,0.3067,-0.0541,0.634519
0.3600,0.3067,0.0541,0.601434
0.3600,0.3067,0.1618,0.602213
0.3600,0.3067,0.2675,0.602910
0.3600,0.3067,0.3701,0.603530
0.3600,0.3067,0.4684,0.604075
0.3600,0.3067,0.5612,0.604548
0.3600,0.3067,0.6474,0.604954
0.3600,0.3067,0.7260,0.605294
0.3600,0.3067,0.7961,0.605572
0.3600,0.3067,0.8569,0.605790
0.3600,0.3067,0.9076,0.605950
0.3600,0.3067,0.9477,0.606056
0.3600,0.3067,0.9766,0.606107
0.3600,0.3067,0.9941,0.606107
0.3600,0.3067,1.0000,0.606057
0.3600,0.3600,-1.0000,1.012831
0.3600,0.3600,-0.9941,1.009105
0.3600,0.3600,-0.9766,1.005667
0.3600,0.3600,-0.9477,1.002524
0.3600,0.3600,-0.9076,0.999679
0.3600,0.3600,-0.8569,0.997135
0.3600,0.3600,-0.7961,0.994891
0.3600,0.3600,-0.7260,0.992943
0.3600,0.3600,-0.6474,0.991287
0.3600,0.3600,-0.5612,0.989918
0.3600,0.3600,-0.4684,0.988827
0.3600,0.3600,-0.3701,0.988007
0.3600,0.3600,-0.2675,0.987448
0.3600,0.3600,-0.1618,0.987140
0.3600,0.3600,-0.0541,0.987073
0.3600,0.3600,0.0541,0.987235
0.3600,0.3600,0.1618,0.987617
0.3600,0.3600,0.2675,0.988206
0.3600,0.3600,0.3701,0.988992
0.3600,0.3600,0.4684,0.989964
0.3600,0.3600,0.5612,0.991111
0.3600,0.3600,0.6474,0.992423
0.3600,0.3600,0.7260,0.993890
0.3600,0.3600,0.7961,0.995502
0.3600,0.3600,0.8569,0.997251
0.3600,0.3600,0.9076,0.999126
0.3600,0.3600,0.9477,1.001120
0.3600,0.3600,0.9766,1.003226
0.3600,0.3600,0.9941,1.005434
0.3600,0.3600,1.0000,1.007738
0.4133,0.2000,-1.0000,0.555516
0.4133,0.2000,-0.9941,0.547919
0.4133,0.2000,-0.9766,0.512536
0.4133,0.2000,-0.9477,0.483447
0.4133,0.2000,-0.9076,0.434052
0.4133,0.2000,-0.8569,0.352224
0.4133,0.2000,-0.7961,0.257342
0.4133,0.2000,-0.7260,0.149110
0.4133,0.2000,-0.6474,0.067122
0.4133,0.2000,-0.5612,0.035687
0.4133,0.2000,-0.4684,0.123381
0.4133,0.2000,-0.3701,0.422790
0.4133,0.2000,-0.2675,0.722549
0.4133,0.2000,-0.1618,0.834640
0.4133,0.2000,-0.0541,0.696633
0.4133,0.2000,0.0541,0.262177
0.4133,0.2000,0.1618,0.317015
0.4133,0.2000,0.2675,0.358800
0.4133,0.2000,0.3701,0.391835
0.4133,0.2000,0.4684,0.418665
0.4133,0.2000,0.5612,0.440908
0.4133,0.2000,0.6474,0.459652
0.4133,0.2000,0.7260,0.475657
0.4133,0.2000,0.7961,0.489473
0.4133,0.2000,0.8569,0.501508
0.4133,0.2000,0.9076,0.512072
0.4133,0.2000,0.9477,0.521405
0.4133,0.2000,0.9766,0.529694
0.4133,0.2000,0.9941,0.537091
0.4133,0.2000,1.0000,0.543716
0.4133,0.2533,-1.0000,0.311431
0.4133,0.2533,-0.9941,0.220311
0.4133,0.2533,-0.9766,0.137895
0.4133,0.2533,-0.9477,0.069629
0.4133,0.2533,-0.9076,0.031062
0.4133,0.2533,-0.8569,0.025801
0.4133,0.2533,-0.7961,0.105076
0.4133,0.2533,-0.7260,0.227091
0.4133,0.2533,-0.6474,0.529059
0.4133,0.2533,-0.5612,0.791185
0.4133,0.2533,-0.4684,0.905394
0.4133,0.2533,-0.3701,0.914974
0.4133,0.2533,-0.2675,0.883606
0.4133,0.2533,-0.1618,0.820455
0.4133,0.2533,-0.0541,0.642033
0.4133,0.2533,0.0541,0.334275
0.4133,0.2533,0.1618,0.363086
0.4133,0.2533,0.2675,0.387458
0.4133,0.2533,0.3701,0.408352
0.4133,0.2533,0.4684,0.426462
0.4133,0.2533,0.5612,0.442304
0.4133,0.2533,0.6474,0.456266
0.4133,0.2533,0.7260,0.468653
0.4133,0.2533,0.7961,0.479701
0.4133,0.2533,0.8569,0.489604
0.4133,0.2533,0.9076,0.498513
0.4133,0.2533,0.9477,0.506556
0.4133,0.2533,0.9766,0.513838
0.4133,0.2533,0.9941,0.520443
0.4133,0.2533,1.0000,0.526447
0.4133,0.3067,-1.0000,0.846242
0.4133,0.3067,-0.9941,0.943269
0.4133,0.3067,-0.9766,0.975575
0.4133,0.3067,-0.9477,0.974724
0.4133,0.3067,-0.9076,0.971419
0.4133,0.3067,-0.8569,0.966366
0.4133,0.3067,-0.7961,0.960158
0.4133,0.3067,-0.7260,0.952419
0.4133,0.3067,-0.6474,0.942584
0.4133,0.3067,-0.5612,0.929765
0.4133,0.3067,-0.4684,0.912481
0.4133,0.3067,-0.3701,0.888059
0.4133,0.3067,-0.2675,0.851103
0.4133,0.3067,-0.1618,0.788697
0.4133,0.3067,-0.0541,0.613069
0.4133,0.3067,0.0541,0.434610
0.4133,0.3067,0.1618,0.445051
0.4133,0.3067,0.2675,0.454582
0.4133,0.3067,0.3701,0.463302
0.4133,0.3067,0.4684,0.471293
0.4133,0.3067,0.5612,0.478628
0.4133,0.3067,0.6474,0.485369
0.4133,0.3067,0.7260,0.491569
0.4133,0.3067,0.7961,0.497276
0.4133,0.3067,0.8569,0.502531
0.4133,0.3067,0.9076,0.507369
0.4133,0.3067,0.9477,0.511821
0.4133,0.3067,0.9766,0.515917
0.4133,0.3067,0.9941,0.519679
0.4133,0.3067,1.0000,0.523130
0.4133,0.3600,-1.0000,0.992846
0.4133,0.3600,-0.9941,0.990940
0.4133,0.3600,-0.9766,0.988509
0.4133,0.3600,-0.9477,0.985454
0.4133,0.3600,-0.9076,0.981645
0.4133,0.3600,-0.8569,0.976914
0.4133,0.3600,-0.7961,0.971028
0.4133,0.3600,-0.7260,0.963668
0.4133,0.3600,-0.6474,0.954379
0.4133,0.3600,-0.5612,0.942488
0.4133,0.3600,-0.4684,0.926965
0.4133,0.3600,-0.3701,0.906132
0.4133,0.3600,-0.2675,0.875489
0.4133,0.3600,-0.1618,0.784322
0.4133,0.3600,-0.0541,0.633383
0.4133,0.3600,0.0541,0.575072
0.4133,0.3600,0.1618,0.575335
0.4133,0.3600,0.2675,0.575494
0.4133,0.3600,0.3701,0.575554
0.4133,0.3600,0.4684,0.575519
0.4133,0.3600,0.5612,0.575394
0.4133,0.3600,0.6474,0.575184
0.4133,0.3600,0.7260,0.574892
0.4133,0.3600,0.7961,0.574522
0.4133,0.3600,0.8569,0.574077
0.4133,0.3600,0.9076,0.573560
