alpha,beta,rho,fitted_exponent
0.3067,0.3067,-0.8569,0.679232
0.3067,0.3067,-0.7961,0.666444
0.3067,0.3067,-0.7260,0.655770
0.3067,0.3067,-0.6474,0.646440
0.3067,0.3067,-0.5612,0.637873
0.3067,0.3067,-0.4684,0.630759
0.3067,0.3067,-0.3701,0.624769
0.3067,0.3067,-0.2675,0.619447
0.3067,0.3067,-0.1618,0.615359
0.3067,0.3067,-0.0541,0.612304
0.3067,0.3067,0.0541,0.610578
0.3067,0.3067,0.1618,0.608265
0.3067,0.3067,0.2675,0.608052
0.3067,0.3067,0.3701,0.606284
0.3067,0.3067,0.4684,0.606972
0.3067,0.3067,0.5612,0.608139
0.3067,0.3067,0.6474,0.609540
0.3067,0.3067,0.7260,0.611303
0.3067,0.3067,0.7961,0.614446
0.3067,0.3067,0.8569,0.616406
0.3067,0.3067,0.9076,0.620629
0.3067,0.3067,0.9477,0.625634
0.3067,0.3067,0.9766,0.629791
0.3067,0.3067,0.9941,0.636072
0.3067,0.3067,1.0000,0.642337
0.3600,0.2000,-1.0000,0.464783
0.3600,0.2000,-0.9941,0.475156
0.3600,0.2000,-0.9766,0.489360
0.3600,0.2000,-0.9477,0.501692
0.3600,0.2000,-0.9076,0.515358
0.3600,0.2000,-0.8569,0.532692
0.3600,0.2000,-0.7961,0.547066
0.3600,0.2000,-0.7260,0.565654
0.3600,0.2000,-0.6474,0.582649
0.3600,0.2000,-0.5612,0.597612
0.3600,0.2000,-0.4684,0.606778
0.3600,0.2000,-0.3701,0.611280
0.3600,0.2000,-0.2675,0.595776
0.3600,0.2000,-0.1618,0.540232
0.3600,0.2000,-0.0541,0.318017
0.3600,0.2000,0.0541,0.293987
0.3600,0.2000,0.1618,0.474521
0.3600,0.2000,0.2675,0.541880
0.3600,0.2000,0.3701,0.569362
0.3600,0.2000,0.4684,0.577338
0.3600,0.2000,0.5612,0.572511
0.3600,0.2000,0.6474,0.566999
0.3600,0.2000,0.7260,0.554869
0.3600,0.2000,0.7961,0.540812
0.3600,0.2000,0.8569,0.526402
0.3600,0.2000,0.9076,0.515283
0.3600,0.2000,0.9477,0.502742
0.3600,0.2000,0.9766,0.487996
0.3600,0.2000,0.9941,0.474285
0.3600,0.2000,1.0000,0.464485
0.3600,0.2533,-1.0000,0.322959
0.3600,0.2533,-0.9941,0.332840
0.3600,0.2533,-0.9766,0.346340
0.3600,0.2533,-0.9477,0.364409
0.3600,0.2533,-0.9076,0.380049
0.3600,0.2533,-0.8569,0.401137
0.3600,0.2533,-0.7961,0.423629
0.3600,0.2533,-0.7260,0.443251
0.3600,0.2533,-0.6474,0.462157
0.3600,0.2533,-0.5612,0.476888
0.3600,0.2533,-0.4684,0.487703
0.3600,0.2533,-0.3701,0.495457
0.3600,0.2533,-0.2675,0.491664
0.3600,0.2533,-0.1618,0.464927
0.3600,0.2533,-0.0541,0.321408
0.3600,0.2533,0.0541,0.359196
0.3600,0.2533,0.1618,0.458745
0.3600,0.2533,0.2675,0.465113
0.3600,0.2533,0.3701,0.425859
0.3600,0.2533,0.4684,0.387828
0.3600,0.2533,0.5612,0.362278
0.3600,0.2533,0.6474,0.343976
0.3600,0.2533,0.7260,0.332367
0.3600,0.2533,0.7961,0.319466
0.3600,0.2533,0.8569,0.310557
0.3600,0.2533,0.9076,0.303547
0.3600,0.2533,0.9477,0.295851
0.3600,0.2533,0.9766,0.292243
0.3600,0.2533,0.9941,0.286097
0.3600,0.2533,1.0000,0.281465
0.3600,0.3067,-1.0000,0.477590
0.3600,0.3067,-0.9941,0.649975
0.3600,0.3067,-0.9766,0.798570
0.3600,0.3067,-0.9477,0.875199
0.3600,0.3067,-0.9076,0.909436
0.3600,0.3067,-0.8569,0.903735
0.3600,0.3067,-0.7961,0.898204
0.3600,0.3067,-0.7260,0.885448
0.3600,0.3067,-0.6474,0.871150
0.3600,0.3067,-0.5612,0.852067
0.3600,0.3067,-0.4684,0.825210
0.3600,0.3067,-0.3701,0.780297
0.3600,0.3067,-0.2675,0.692060
0.3600,0.3067,-0.1618,0.545135
0.3600,0.3067,-0.0541,0.298094
0.3600,0.3067,0.0541,0.235012
