alpha,beta,rho,fitted_exponent
0.3067,0.2533,0.0541,0.080698
0.3067,0.2533,0.1618,0.079984
0.3067,0.2533,0.2675,0.079519
0.3067,0.2533,0.3701,0.079041
0.3067,0.2533,0.4684,0.078680
0.3067,0.2533,0.5612,0.078453
0.3067,0.2533,0.6474,0.078406
0.3067,0.2533,0.7260,0.078372
0.3067,0.2533,0.7961,0.078427
0.3067,0.2533,0.8569,0.078588
0.3067,0.2533,0.9076,0.078717
0.3067,0.2533,0.9477,0.078941
0.3067,0.2533,0.9766,0.079279
0.3067,0.2533,0.9941,0.079659
0.3067,0.2533,1.0000,0.080118
0.3067,0.3067,-1.0000,0.389832
0.3067,0.3067,-0.9941,0.379096
0.3067,0.3067,-0.9766,0.372045
0.3067,0.3067,-0.9477,0.365537
0.3067,0.3067,-0.9076,0.360402
0.3067,0.3067,-0.8569,0.354983
0.3067,0.3067,-0.7961,0.350274
0.3067,0.3067,-0.7260,0.346650
0.3067,0.3067,-0.6474,0.342520
0.3067,0.3067,-0.5612,0.339662
0.3067,0.3067,-0.4684,0.336713
0.3067,0.3067,-0.3701,0.334549
0.3067,0.3067,-0.2675,0.332418
0.3067,0.3067,-0.1618,0.330639
0.3067,0.3067,-0.0541,0.329732
0.3067,0.3067,0.0541,0.328755
0.3067,0.3067,0.1618,0.327912
0.3067,0.3067,0.2675,0.327618
0.3067,0.3067,0.3701,0.327083
0.3067,0.3067,0.4684,0.327985
0.3067,0.3067,0.5612,0.328188
0.3067,0.3067,0.6474,0.328897
0.3067,0.3067,0.7260,0.329637
0.3067,0.3067,0.7961,0.330579
0.3067,0.3067,0.8569,0.331818
0.3067,0.3067,0.9076,0.333370
0.3067,0.3067,0.9477,0.334620
0.3067,0.3067,0.9766,0.336140
0.3067,0.3067,0.9941,0.337727
0.3067,0.3067,1.0000,0.340081
0.3600,0.2000,-1.0000,0.410442
0.3600,0.2000,-0.9941,0.448041
0.3600,0.2000,-0.9766,0.672639
0.3600,0.2000,-0.9477,0.737141
0.3600,0.2000,-0.9076,0.812363
0.3600,0.2000,-0.8569,0.867797
0.3600,0.2000,-0.7961,0.933033
0.3600,0.2000,-0.7260,0.947193
0.3600,0.2000,-0.6474,0.963624
0.3600,0.2000,-0.5612,0.970546
0.3600,0.2000,-0.4684,0.978934
0.3600,0.2000,-0.3701,0.977683
0.3600,0.2000,-0.2675,0.964523
0.3600,0.2000,-0.1618,0.936387
0.3600,0.2000,-0.0541,0.708778
0.3600,0.2000,0.0541,0.031029
0.3600,0.2000,0.1618,0.048505
0.3600,0.2000,0.2675,0.011562
0.3600,0.2000,0.3701,0.011353
0.3600,0.2000,0.4684,0.011128
0.3600,0.2000,0.5612,0.010768
0.3600,0.2000,0.6474,0.010595
0.3600,0.2000,0.7260,0.010361
0.3600,0.2000,0.7961,0.010686
0.3600,0.2000,0.8569,0.010192
0.3600,0.2000,0.9076,0.010042
0.3600,0.2000,0.9477,0.010170
0.3600,0.2000,0.9766,0.009973
0.3600,0.2000,0.9941,0.009902
0.3600,0.2000,1.0000,0.009763
0.3600,0.2533,-1.0000,0.746213
0.3600,0.2533,-0.9941,0.832466
0.3600,0.2533,-0.9766,0.908536
0.3600,0.2533,-0.9477,0.937348
0.3600,0.2533,-0.9076,0.959732
0.3600,0.2533,-0.8569,0.986475
0.3600,0.2533,-0.7961,0.993802
0.3600,0.2533,-0.7260,0.998584
0.3600,0.2533,-0.6474,1.004307
0.3600,0.2533,-0.5612,1.009859
0.3600,0.2533,-0.4684,1.008150
