alpha,beta,rho,fitted_exponent
0.3067,0.3067,-0.8569,0.678631
0.3067,0.3067,-0.7961,0.666248
0.3067,0.3067,-0.7260,0.655463
0.3067,0.3067,-0.6474,0.646134
0.3067,0.3067,-0.5612,0.638026
0.3067,0.3067,-0.4684,0.630857
0.3067,0.3067,-0.3701,0.625001
0.3067,0.3067,-0.2675,0.619567
0.3067,0.3067,-0.1618,0.615489
0.3067,0.3067,-0.0541,0.612431
0.3067,0.3067,0.0541,0.610346
0.3067,0.3067,0.1618,0.608267
0.3067,0.3067,0.2675,0.608141
0.3067,0.3067,0.3701,0.606753
0.3067,0.3067,0.4684,0.606600
0.3067,0.3067,0.5612,0.608458
0.3067,0.3067,0.6474,0.609626
0.3067,0.3067,0.7260,0.611576
0.3067,0.3067,0.7961,0.614821
0.3067,0.3067,0.8569,0.616952
0.3067,0.3067,0.9076,0.620524
0.3067,0.3067,0.9477,0.625942
0.3067,0.3067,0.9766,0.629612
0.3067,0.3067,0.9941,0.636234
0.3067,0.3067,1.0000,0.642550
0.3600,0.2000,-1.0000,0.464820
0.3600,0.2000,-0.9941,0.475136
0.3600,0.2000,-0.9766,0.489435
0.3600,0.2000,-0.9477,0.501660
0.3600,0.2000,-0.9076,0.515363
0.3600,0.2000,-0.8569,0.532591
0.3600,0.2000,-0.7961,0.547102
0.3600,0.2000,-0.7260,0.565664
0.3600,0.2000,-0.6474,0.582673
0.3600,0.2000,-0.5612,0.597606
0.3600,0.2000,-0.4684,0.606764
0.3600,0.2000,-0.3701,0.611197
0.3600,0.2000,-0.2675,0.595757
0.3600,0.2000,-0.1618,0.540230
0.3600,0.2000,-0.0541,0.318037
0.3600,0.2000,0.0541,0.293992
0.3600,0.2000,0.1618,0.474515
0.3600,0.2000,0.2675,0.541880
0.3600,0.2000,0.3701,0.569364
0.3600,0.2000,0.4684,0.577338
0.3600,0.2000,0.5612,0.572447
0.3600,0.2000,0.6474,0.567012
0.3600,0.2000,0.7260,0.554869
0.3600,0.2000,0.7961,0.540800
0.3600,0.2000,0.8569,0.526402
0.3600,0.2000,0.9076,0.515283
0.3600,0.2000,0.9477,0.502742
0.3600,0.2000,0.9766,0.487996
0.3600,0.2000,0.9941,0.474285
0.3600,0.2000,1.0000,0.464512
0.3600,0.2533,-1.0000,0.322851
0.3600,0.2533,-0.9941,0.332770
0.3600,0.2533,-0.9766,0.346394
0.3600,0.2533,-0.9477,0.364418
0.3600,0.2533,-0.9076,0.380061
0.3600,0.2533,-0.8569,0.401023
0.3600,0.2533,-0.7961,0.423558
0.3600,0.2533,-0.7260,0.443326
0.3600,0.2533,-0.6474,0.461913
0.3600,0.2533,-0.5612,0.477002
0.3600,0.2533,-0.4684,0.487759
0.3600,0.2533,-0.3701,0.495487
0.3600,0.2533,-0.2675,0.491666
0.3600,0.2533,-0.1618,0.464949
0.3600,0.2533,-0.0541,0.321339
0.3600,0.2533,0.0541,0.359200
0.3600,0.2533,0.1618,0.458727
0.3600,0.2533,0.2675,0.465113
0.3600,0.2533,0.3701,0.425790
0.3600,0.2533,0.4684,0.387818
0.3600,0.2533,0.5612,0.362303
0.3600,0.2533,0.6474,0.343984
0.3600,0.2533,0.7260,0.332383
0.3600,0.2533,0.7961,0.319472
0.3600,0.2533,0.8569,0.310557
0.3600,0.2533,0.9076,0.303605
0.3600,0.2533,0.9477,0.295832
0.3600,0.2533,0.9766,0.292216
0.3600,0.2533,0.9941,0.286132
0.3600,0.2533,1.0000,0.281437
0.3600,0.3067,-1.0000,0.481289
0.3600,0.3067,-0.9941,0.652427
0.3600,0.3067,-0.9766,0.798579
0.3600,0.3067,-0.9477,0.875230
0.3600,0.3067,-0.9076,0.909429
0.3600,0.3067,-0.8569,0.903726
0.3600,0.3067,-0.7961,0.898219
0.3600,0.3067,-0.7260,0.885370
0.3600,0.3067,-0.6474,0.871175
0.3600,0.3067,-0.5612,0.851968
0.3600,0.3067,-0.4684,0.825205
0.3600,0.3067,-0.3701,0.780302
0.3600,0.3067,-0.2675,0.692074
0.3600,0.3067,-0.1618,0.545198
0.3600,0.3067,-0.0541,0.298049
0.3600,0.3067,0.0541,0.235202
0.3600,0.3067,0.1618,0.230360
0.3600,0.3067,0.2675,0.228578
0.3600,0.3067,0.3701,0.223819
0.3600,0.3067,0.4684,0.220462
0.3600,0.3067,0.5612,0.218101
0.3600,0.3067,0.6474,0.215951
0.3600,0.3067,0.7260,0.212579
0.3600,0.3067,0.7961,0.211471
0.3600,0.3067,0.8569,0.208609
0.3600,0.3067,0.9076,0.205563
0.3600,0.3067,0.9477,0.204148
0.3600,0.3067,0.9766,0.202349
0.3600,0.3067,0.9941,0.200070
0.3600,0.3067,1.0000,0.198372
0.3600,0.3600,-1.0000,0.801188
0.3600,0.3600,-0.9941,0.784170
0.3600,0.3600,-0.9766,0.767734
0.3600,0.3600,-0.9477,0.752134
0.3600,0.3600,-0.9076,0.740383
0.3600,0.3600,-0.8569,0.727337
0.3600,0.3600,-0.7961,0.718508
0.3600,0.3600,-0.7260,0.709741
0.3600,0.3600,-0.6474,0.702639
0.3600,0.3600,-0.5612,0.696614
0.3600,0.3600,-0.4684,0.691490
0.3600,0.3600,-0.3701,0.686833
0.3600,0.3600,-0.2675,0.683061
0.3600,0.3600,-0.1618,0.680498
0.3600,0.3600,-0.0541,0.678835
0.3600,0.3600,0.0541,0.675980
0.3600,0.3600,0.1618,0.675397
0.3600,0.3600,0.2675,0.676688
0.3600,0.3600,0.3701,0.676250
0.3600,0.3600,0.4684,0.678039
0.3600,0.3600,0.5612,0.680624
0.3600,0.3600,0.6474,0.683001
0.3600,0.3600,0.7260,0.685099
0.3600,0.3600,0.7961,0.688812
0.3600,0.3600,0.8569,0.693227
0.3600,0.3600,0.9076,0.698984
0.3600,0.3600,0.9477,0.704269
0.3600,0.3600,0.9766,0.709954
0.3600,0.3600,0.9941,0.718113
0.3600,0.3600,1.0000,0.725648
0.4133,0.2000,-1.0000,0.522873
0.4133,0.2000,-0.9941,0.533540
0.4133,0.2000,-0.9766,0.547414
0.4133,0.2000,-0.9477,0.564617
0.4133,0.2000,-0.9076,0.580482
0.4133,0.2000,-0.8569,0.599315
0.4133,0.2000,-0.7961,0.619267
0.4133,0.2000,-0.7260,0.640270
0.4133,0.2000,-0.6474,0.660350
0.4133,0.2000,-0.5612,0.681674
0.4133,0.2000,-0.4684,0.699668
0.4133,0.2000,-0.3701,0.711221
0.4133,0.2000,-0.2675,0.706663
0.4133,0.2000,-0.1618,0.665673
0.4133,0.2000,-0.0541,0.480061
0.4133,0.2000,0.0541,0.405187
0.4133,0.2000,0.1618,0.603178
0.4133,0.2000,0.2675,0.659539
0.4133,0.2000,0.3701,0.675285
0.4133,0.2000,0.4684,0.672247
0.4133,0.2000,0.5612,0.659879
0.4133,0.2000,0.6474,0.643965
0.4133,0.2000,0.7260,0.625722
0.4133,0.2000,0.7961,0.609555
0.4133,0.2000,0.8569,0.590430
0.4133,0.2000,0.9076,0.575004
0.4133,0.2000,0.9477,0.558494
0.4133,0.2000,0.9766,0.546240
0.4133,0.2000,0.9941,0.533475
0.4133,0.2000,1.0000,0.521062
0.4133,0.2533,-1.0000,0.478363
0.4133,0.2533,-0.9941,0.488350
0.4133,0.2533,-0.9766,0.500738
0.4133,0.2533,-0.9477,0.514955
0.4133,0.2533,-0.9076,0.529154
0.4133,0.2533,-0.8569,0.545381
0.4133,0.2533,-0.7961,0.561141
0.4133,0.2533,-0.7260,0.577586
0.4133,0.2533,-0.6474,0.592920
0.4133,0.2533,-0.5612,0.610584
0.4133,0.2533,-0.4684,0.619659
0.4133,0.2533,-0.3701,0.619815
0.4133,0.2533,-0.2675,0.604920
0.4133,0.2533,-0.1618,0.544453
0.4133,0.2533,-0.0541,0.340085
0.4133,0.2533,0.0541,0.300371
0.4133,0.2533,0.1618,0.491671
0.4133,0.2533,0.2675,0.560203
0.4133,0.2533,0.3701,0.585732
0.4133,0.2533,0.4684,0.590532
0.4133,0.2533,0.5612,0.586275
0.4133,0.2533,0.6474,0.578225
0.4133,0.2533,0.7260,0.565756
0.4133,0.2533,0.7961,0.552353
0.4133,0.2533,0.8569,0.537522
0.4133,0.2533,0.9076,0.525973
0.4133,0.2533,0.9477,0.512474
0.4133,0.2533,0.9766,0.499712
0.4133,0.2533,0.9941,0.486936
0.4133,0.2533,1.0000,0.474102
0.4133,0.3067,-1.0000,0.297017
0.4133,0.3067,-0.9941,0.306681
0.4133,0.3067,-0.9766,0.320572
0.4133,0.3067,-0.9477,0.336227
0.4133,0.3067,-0.9076,0.355392
0.4133,0.3067,-0.8569,0.378016
0.4133,0.3067,-0.7961,0.404510
0.4133,0.3067,-0.7260,0.427197
0.4133,0.3067,-0.6474,0.439557
0.4133,0.3067,-0.5612,0.446219
0.4133,0.3067,-0.4684,0.453333
0.4133,0.3067,-0.3701,0.456092
0.4133,0.3067,-0.2675,0.464899
0.4133,0.3067,-0.1618,0.486778
0.4133,0.3067,-0.0541,0.401850
0.4133,0.3067,0.0541,0.349886
0.4133,0.3067,0.1618,0.369233
0.4133,0.3067,0.2675,0.345886
0.4133,0.3067,0.3701,0.323894
0.4133,0.3067,0.4684,0.310444
0.4133,0.3067,0.5612,0.299226
0.4133,0.3067,0.6474,0.290727
0.4133,0.3067,0.7260,0.283571
0.4133,0.3067,0.7961,0.278361
0.4133,0.3067,0.8569,0.274134
0.4133,0.3067,0.9076,0.269984
0.4133,0.3067,0.9477,0.267298
0.4133,0.3067,0.9766,0.265701
0.4133,0.3067,0.9941,0.261247
0.4133,0.3067,1.0000,0.260985
0.4133,0.3600,-1.0000,0.807957
0.4133,0.3600,-0.9941,0.856022
0.4133,0.3600,-0.9766,0.870423
0.4133,0.3600,-0.9477,0.874962
0.4133,0.3600,-0.9076,0.875161
0.4133,0.3600,-0.8569,0.868115
0.4133,0.3600,-0.7961,0.859064
0.4133,0.3600,-0.7260,0.846495
0.4133,0.3600,-0.6474,0.831742
0.4133,0.3600,-0.5612,0.810834
0.4133,0.3600,-0.4684,0.784372
0.4133,0.3600,-0.3701,0.747224
0.4133,0.3600,-0.2675,0.689280
0.4133,0.3600,-0.1618,0.562447
0.4133,0.3600,-0.0541,0.323194
0.4133,0.3600,0.0541,0.205240
0.4133,0.3600,0.1618,0.204186
0.4133,0.3600,0.2675,0.201737
0.4133,0.3600,0.3701,0.199868
0.4133,0.3600,0.4684,0.197225
0.4133,0.3600,0.5612,0.194577
0.4133,0.3600,0.6474,0.192704
0.4133,0.3600,0.7260,0.190808
0.4133,0.3600,0.7961,0.188910
0.4133,0.3600,0.8569,0.186824
0.4133,0.3600,0.9076,0.184268
0.4133,0.3600,0.9477,0.182733
0.4133,0.3600,0.9766,0.180738
0.4133,0.3600,0.9941,0.178961
0.4133,0.3600,1.0000,0.176967
0.4133,0.4133,-1.0000,0.891545
0.4133,0.4133,-0.9941,0.875929
0.4133,0.4133,-0.9766,0.861665
0.4133,0.4133,-0.9477,0.847702
0.4133,0.4133,-0.9076,0.835299
0.4133,0.4133,-0.8569,0.823790
0.4133,0.4133,-0.7961,0.814886
0.4133,0.4133,-0.7260,0.806809
0.4133,0.4133,-0.6474,0.799005
0.4133,0.4133,-0.5612,0.793639
0.4133,0.4133,-0.4684,0.788124
0.4133,0.4133,-0.3701,0.783184
0.4133,0.4133,-0.2675,0.780735
0.4133,0.4133,-0.1618,0.778564
0.4133,0.4133,-0.0541,0.776418
0.4133,0.4133,0.0541,0.776284
0.4133,0.4133,0.1618,0.776714
0.4133,0.4133,0.2675,0.774869
0.4133,0.4133,0.3701,0.778588
0.4133,0.4133,0.4684,0.780530
0.4133,0.4133,0.5612,0.783596
0.4133,0.4133,0.6474,0.787622
0.4133,0.4133,0.7260,0.792476
0.4133,0.4133,0.7961,0.797620
0.4133,0.4133,0.8569,0.803764
0.4133,0.4133,0.9076,0.810996
0.4133,0.4133,0.9477,0.819195
0.4133,0.4133,0.9766,0.829663
0.4133,0.4133,0.9941,0.840795
0.4133,0.4133,1.0000,0.851984
0.4667,0.2000,-1.0000,0.547665
0.4667,0.2000,-0.9941,0.560909
0.4667,0.2000,-0.9766,0.576243
0.4667,0.2000,-0.9477,0.594071
0.4667,0.2000,-0.9076,0.613425
0.4667,0.2000,-0.8569,0.634134
0.4667,0.2000,-0.7961,0.654601
0.4667,0.2000,-0.7260,0.677663
0.4667,0.2000,-0.6474,0.702980
0.4667,0.2000,-0.5612,0.728550
0.4667,0.2000,-0.4684,0.750181
0.4667,0.2000,-0.3701,0.771524
0.4667,0.2000,-0.2675,0.779709
0.4667,0.2000,-0.1618,0.757779
0.4667,0.2000,-0.0541,0.600324
0.4667,0.2000,0.0541,0.521076
0.4667,0.2000,0.1618,0.703179
